# Time(s)	Magnetic_Field(uT)
5.913951635360717773e+00	4.616363949851791360e-05
5.926499128341674805e+00	1.790645320268549633e-04
5.938845872879028320e+00	9.525086367613855309e-05
5.950764894485473633e+00	-1.745807945845014253e-05
5.962797880172729492e+00	9.810564819956272013e-05
5.974621534347534180e+00	1.298730789843421192e-04
5.986613750457763672e+00	5.761752054717647707e-05
5.998511314392089844e+00	1.847393581187374990e-04
6.010689020156860352e+00	-1.465540936747206597e-05
6.022649049758911133e+00	2.627218570802331140e-04
6.034651041030883789e+00	1.211176391617707507e-04
6.046541929244995117e+00	4.308302576782907398e-05
6.058568000793457031e+00	1.705990698486121890e-05
6.070491075515747070e+00	1.415300802899226581e-05
6.082608461380004883e+00	-8.410829771365962136e-05
6.094368219375610352e+00	-4.656181197210552264e-05
6.106161355972290039e+00	2.654897842162466746e-04
6.118037223815917969e+00	-1.361719067570782307e-04
6.129999160766601562e+00	-6.395109127487578495e-05
6.141844749450683594e+00	-2.142238916285001842e-04
6.153734683990478516e+00	3.896699798769768532e-04
6.165575504302978516e+00	4.290931099301049695e-05
6.177663087844848633e+00	-9.119555095443601482e-06
6.189638137817382812e+00	1.411185023032176015e-04
6.201614141464233398e+00	-1.782288048556887781e-05
6.232360124588012695e+00	1.295256494347036776e-04
6.244469165802001953e+00	-1.785762344053337859e-05
6.256153106689453125e+00	4.569460960650698381e-05
6.267676115036010742e+00	-1.211331143872184308e-05
6.279358148574829102e+00	6.588655900025533116e-05
6.291027069091796875e+00	5.142155013083560825e-05
6.302937030792236328e+00	8.318898091561498698e-05
6.314892053604125977e+00	5.138680717587241868e-05
6.327012777328491211e+00	1.582819523987231980e-04
6.338955640792846680e+00	1.264797786589806161e-04
6.351205587387084961e+00	-1.223491178109563067e-05
6.363446474075317383e+00	8.888117848498043540e-05
6.375590085983276367e+00	1.957763237078312011e-04
6.387466430664062500e+00	2.527683100549528526e-05
6.399349927902221680e+00	-7.298447473715791482e-05
6.411344289779663086e+00	-1.232176916850491580e-05
6.423671483993530273e+00	1.494743981437057204e-04
6.436100006103515625e+00	-4.992036934250380903e-05
6.449040174484252930e+00	8.587005066422059732e-05
6.460673332214355469e+00	-1.453095190842512642e-04
6.473943710327148438e+00	5.694003292538247964e-05
6.485711336135864258e+00	5.403313396951351809e-05
6.497153759002685547e+00	-2.111195194603947726e-05
6.510484933853149414e+00	-1.164837302103040095e-04
6.522408723831176758e+00	-2.692574985777870480e-05
6.533565044403076172e+00	2.302248242412148959e-04
6.545868873596191406e+00	-6.741387751016495464e-05
6.557375907897949219e+00	3.948126771268583142e-05
6.569525718688964844e+00	1.723821602410215462e-04
6.581623077392578125e+00	1.319114040661169013e-04
6.593384981155395508e+00	-3.569856115783166469e-05
6.605308771133422852e+00	-1.050645921166099434e-04
6.617124795913696289e+00	1.607545644175457271e-04
6.629426002502441406e+00	-1.917851594231953017e-04
6.641699552536010742e+00	-5.021568445969616857e-05
6.653425693511962891e+00	1.318071752012260384e-04
6.665641069412231445e+00	2.126965731185905472e-04
